Н1 для тексту з пробілами:  4.367271375829809      R =  12.654572483403825 %
Н2 для тексту з пробілами (біграми перетинаються):  3.9577141050316333      R =  58.31288851835097 %
Н2 для тексту з пробілами (біграми не перетинаються):  3.957434097356912      R =  58.04488186589432 %
H1 без пробілів:  4.468635200737929
H2 без пробілів(біграми перетинаються):  4.1523148031376795

Таблиця кількості букв:
Символ Кількість  Частота   
вя    91         0.00022
бк    36         0.00009
кк    3          0.00001
ч     205        0.00049
 щ    52         0.00012
щ     317        0.00075
гэ    205        0.00049
эн    209        0.00050
ф     169        0.00040
ха    214        0.00051
рт    175        0.00042
шь    149        0.00035
дг    3          0.00001
аб    238        0.00057
рх    139        0.00033
ащ    115        0.00027
рф    11         0.00003
яс    224        0.00053
зг    130        0.00031
яд    198        0.00047
рж    103        0.00025
еш    292        0.00070
хе    23         0.00005
йт    153        0.00036
зл    167        0.00040
ып    68         0.00016
вв    40         0.00010
щу    51         0.00012
нч    69         0.00016
аи    50         0.00012
гк    35         0.00008
уе    41         0.00010
шо    145        0.00035
яж    34         0.00008
жк    47         0.00011
ню    55         0.00013
юю    12         0.00003
ея    67         0.00016
йд    86         0.00020
мс    42         0.00010
рс    44         0.00010
мп    26         0.00006
ьо    2          0.00000
йш    31         0.00007
сэ    4          0.00001
эр    70         0.00017
тд    60         0.00014
рг    105        0.00025
иа    15         0.00004
нт    77         0.00018
зу    186        0.00044
фе    20         0.00005
йе    5          0.00001
кв    71         0.00017
ху    72         0.00017
иг    138        0.00033
ьв    1          0.00000
зо    333        0.00079
кж    12         0.00003
цв    33         0.00008
 ю    40         0.00010
юн    9          0.00002
тп    42         0.00010
вь    94         0.00022
ощ    108        0.00026
оэ    32         0.00008
йч    74         0.00018
зм    109        0.00026
ыг    68         0.00016
юр    23         0.00005
хл    79         0.00019
пн    71         0.00017
мк    57         0.00014
ср    113        0.00027
ьч    27         0.00006
пю    29         0.00007
лч    29         0.00007
бь    43         0.00010
жу    82         0.00020
ыб    73         0.00017
дп    30         0.00007
ыд    34         0.00008
вц    8          0.00002
зю    2          0.00000
б     70         0.00017
тт    33         0.00008
мч    28         0.00007
уз    137        0.00033
зь    59         0.00014
пы    149        0.00035
хт    13         0.00003
фи    73         0.00017
нр    28         0.00007
йк    19         0.00005
дз    19         0.00005
нк    72         0.00017
яг    52         0.00012
бх    14         0.00003
оф    33         0.00008
сб    48         0.00011
яч    37         0.00009
чм    1          0.00000
рм    69         0.00016
зж    20         0.00005
иф    21         0.00005
фу    57         0.00014
мб    56         0.00013
нш    13         0.00003
дц    86         0.00020
ыж    10         0.00002
яб    7          0.00002
цу    31         0.00007
ип    86         0.00020
бп    1          0.00000
лв    14         0.00003
дх    25         0.00006
ыз    19         0.00005
пп    4          0.00001
сд    82         0.00020
жл    15         0.00004
ща    182        0.00043
лф    2          0.00000
жь    7          0.00002
эй    10         0.00002
ао    10         0.00002
мг    10         0.00002
уф    2          0.00000
мр    52         0.00012
лд    25         0.00006
фл    7          0.00002
пф    3          0.00001
лщ    2          0.00000
фы    80         0.00019
вм    42         0.00010
оц    43         0.00010
сж    7          0.00002
дш    15         0.00004
уа    4          0.00001
рл    69         0.00016
нз    15         0.00004
рц    29         0.00007
зб    77         0.00018
йм    28         0.00007
ыч    52         0.00012
рэ    1          0.00000
эм    1          0.00000
ыи    5          0.00001
йщ    2          0.00000
мщ    35         0.00008
эк    6          0.00001
зз    11         0.00003
вж    4          0.00001
щь    34         0.00008
хш    4          0.00001
жр    6          0.00001
йл    34         0.00008
ьи    26         0.00006
дд    16         0.00004
бч    3          0.00001
юл    4          0.00001
вх    42         0.00010
юг    26         0.00006
лз    24         0.00006
хс    23         0.00005
уц    11         0.00003
рп    24         0.00006
пь    31         0.00007
йи    5          0.00001
ыя    11         0.00003
гс    3          0.00001
гч    11         0.00003
яе    28         0.00007
йу    2          0.00000
уо    3          0.00001
тю    20         0.00005
юк    36         0.00009
юп    3          0.00001
вб    14         0.00003
кш    4          0.00001
тб    13         0.00003
яй    16         0.00004
вч    4          0.00001
тщ    5          0.00001
нж    31         0.00007
сц    16         0.00004
шт    9          0.00002
зх    3          0.00001
сг    28         0.00007
зт    14         0.00003
пт    46         0.00011
бз    3          0.00001
бг    4          0.00001
дб    15         0.00004
сз    5          0.00001
щн    16         0.00004
пч    12         0.00003
лр    24         0.00006
сщ    3          0.00001
мх    2          0.00000
уя    15         0.00004
тм    5          0.00001
лп    9          0.00002
ыщ    3          0.00001
бм    11         0.00003
мд    3          0.00001
яц    3          0.00001
яш    5          0.00001
эх    11         0.00003
чл    7          0.00002
нщ    8          0.00002
юх    15         0.00004
юз    8          0.00002
шп    5          0.00001
йц    10         0.00002
гм    1          0.00000
лб    13         0.00003
жг    10         0.00002
чр    2          0.00000
тх    2          0.00000
дч    9          0.00002
щщ    1          0.00000
тг    10         0.00002
мф    2          0.00000
жм    7          0.00002
дм    10         0.00002
тш    2          0.00000
рб    3          0.00001
йз    1          0.00000
бв    8          0.00002
рщ    1          0.00000
ьщ    2          0.00000
хь    1          0.00000
э     11         0.00003
гт    5          0.00001
юв    1          0.00000
рр    12         0.00003
вщ    9          0.00002
иу    4          0.00001
фт    1          0.00000
жж    4          0.00001
мт    3          0.00001
дю    5          0.00001
мц    2          0.00000
юф    1          0.00000
фя    1          0.00000
фр    2          0.00000
нл    1          0.00000
чв    1          0.00000
 ы    1          0.00000
що    1          0.00000
вг    2          0.00000
жб    6          0.00001
цк    10         0.00002
гш    1          0.00000
бд    9          0.00002
бт    2          0.00000
бж    2          0.00000
щр    1          0.00000
уи    9          0.00002
пс    1          0.00000
бц    2          0.00000
юе    1          0.00000
эп    1          0.00000
эс    12         0.00003
ыу    1          0.00000
зш    1          0.00000
шр    1          0.00000
жч    1          0.00000
оа    6          0.00001
пщ    1          0.00000
эф    1          0.00000
мм    1          0.00000
йя    1          0.00000
гв    4          0.00001
кц    3          0.00001
йр    1          0.00000
аф    1          0.00000
фс    1          0.00000
юй    1          0.00000
сф    1          0.00000


Таблиця кількості біграм (біграми не перетинаються):
Символ Кількість  Частота   
------------------------------
дж    8          0.00004
он    1515       0.00722
 р    878        0.00418
ал    2120       0.01010
ьд    9          0.00004
уэ    4          0.00002
л     1630       0.00776
то    2293       0.01092
лк    99         0.00047
ин    908        0.00432
 н    3472       0.01654
еж    173        0.00082
да    1069       0.00509
нн    476        0.00227
ые    291        0.00139
 г    1308       0.00623
ос    1283       0.00611
ти    635        0.00302
 б    1874       0.00892
ар    394        0.00188
ан    433        0.00206
ье    93         0.00044
 ж    294        0.00140
ко    1671       0.00796
е     3292       0.01568
пе    545        0.00260
ре    1218       0.00580
ды    152        0.00072
шк    80         0.00038
а     2895       0.01379
че    501        0.00239
з     409        0.00195
го    1731       0.00824
ру    563        0.00268
 и    2418       0.01152
 п    3520       0.01676
од    992        0.00472
ор    1403       0.00668
ой    637        0.00303
 з    1132       0.00539
аг    177        0.00084
ад    475        0.00226
ки    567        0.00270
 в    3443       0.01640
 т    1971       0.00939
ем    704        0.00335
но    2074       0.00988
те    996        0.00474
ог    1032       0.00491
ня    238        0.00113
 д    1713       0.00816
в     1408       0.00671
