, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
х,0.002874226548732356,0.000588357834167544,2.8151092543901627e-06,0.00013231013495633765,5.6302185087803256e-05,0,7.037773135975407e-05,0,0,0.00033781311052681953,0,5.630218508780325e-06,0.00014920079048267863,5.6302185087803256e-05,0.00032092245500047855,0.0018044850320640944,0,0.00020268786631609173,6.474751285097375e-05,1.4075546271950814e-05,0.00018579721078975075,0,2.8151092543901627e-06,0,0,1.689065552634098e-05,0,0,8.44532776317049e-06,2.8151092543901627e-06,0,0
ц,0.0003434433290355999,0.0006165089267114456,2.8151092543901627e-06,6.474751285097375e-05,0,0,0.0008135665745187571,0,0,0.00030403179947413757,0,1.4075546271950814e-05,5.630218508780325e-06,0,0,0.0002674353791670655,0,3.659642030707212e-05,0,2.8151092543901627e-06,0.00017172166451779995,0,0,0,0,0,0,0.0001801669922809704,0,0,0,0
ч,0.0005376858675885211,0.0022351967479857892,0,2.8151092543901627e-06,0,0,0.003769431291628428,0,0,0.0015117136696075175,0,0.00046730813622876703,2.25208740351213e-05,5.630218508780325e-06,0.0007347435153958325,7.319284061414424e-05,0,8.726838688609505e-05,0,0.0030149820114518644,0.0005123498842990096,0,0,0,0,5.3487075833413094e-05,0,0,0.0002815109254390163,0,0,0
ш,9.00834961404852e-05,0.0010444055333787504,0,7.037773135975407e-05,0,0,0.0021451132518453043,0,0,0.0017228468636867797,0,0.0003575188753075507,0.0003941152956146228,5.630218508780325e-06,0.0003715944215795015,0.0002477296143863343,5.067196657902293e-05,8.44532776317049e-06,0,7.600794986853439e-05,0.0003575188753075507,0,0,0,0,0,0,0,0.0003406282197812097,0,0,0
щ,3.378131105268196e-05,0.00042226638815852445,0,0,0,0,0.0012977653662738652,0,0,0.0010894472814489931,0,0,0,0,6.756262210536392e-05,0,0,2.8151092543901627e-06,0,0,0.00011823458868438683,0,0,0,0,0,0,0,1.689065552634098e-05,0,0,0
ы,0.0038623298970233036,0,0.00026180516065828517,0.0008051212467555866,9.00834961404852e-05,0.00010415904241243602,0.0008698687596065604,6.193240359658358e-05,7.319284061414424e-05,0,0.0017228468636867797,0.00021394830333365238,0.0019086440744765303,0.0012161271978965503,0.0001660914460090196,0,0.00014075546271950814,0.00023646917736877367,0.0006840715488168096,0.0005658369601324227,0,0,0.0007882305912292456,1.4075546271950814e-05,0.00013794035346511798,0.0005489463046060818,8.44532776317049e-06,0,0,0,0,1.970576478073114e-05
ь,0.00933771739681217,0,2.8151092543901628e-05,3.096620179829179e-05,8.726838688609505e-05,0.00011260437017560651,0.0008952047428960718,2.8151092543901627e-06,0.00014638568122828848,5.067196657902293e-05,0,0.0008501629948258291,0,0.00021676341258804253,0.0012048667608789898,2.8151092543901627e-06,5.630218508780325e-06,2.8151092543901627e-06,0.0007460039524133931,0.000258990051403895,0,1.4075546271950814e-05,0,0.000121049697938777,7.037773135975407e-05,0.00030403179947413757,1.126043701756065e-05,0,0,5.630218508780325e-06,0.0003321828920180392,0.0004166361696497441
э,1.970576478073114e-05,0,0,0,0,0,0,0,8.44532776317049e-06,0,2.8151092543901627e-06,2.5335983289511466e-05,1.689065552634098e-05,1.126043701756065e-05,2.25208740351213e-05,0,5.630218508780325e-06,1.4075546271950814e-05,8.44532776317049e-06,0.0024829263623721235,0,5.630218508780325e-06,1.970576478073114e-05,0,0,0,0,0,0,0,0,0
ю,0.0026124213880740713,0,0.0001745367737721901,1.126043701756065e-05,5.630218508780325e-06,0.0002646202699126753,0,2.8151092543901627e-06,2.8151092543901627e-06,0,0,3.378131105268196e-05,2.25208740351213e-05,5.3487075833413094e-05,4.222663881585244e-05,0,0,5.6302185087803256e-05,0.00016046122750023928,0.00030121669021974744,0,0,5.067196657902293e-05,1.4075546271950814e-05,0.0001294950257019475,3.096620179829179e-05,0.00040537573263218346,0,0,0,5.067196657902293e-05,2.8151092543901627e-06
я,0.009484103078040458,0,2.25208740351213e-05,0.0004166361696497441,8.445327763170488e-05,0.000605248489693885,0.00010134393315804587,0.00010134393315804587,0.0002730655976758458,2.25208740351213e-05,4.222663881585244e-05,0.0001970576478073114,0.0007994910282468063,0.00031529223649169824,0.0005658369601324227,0,5.067196657902293e-05,9.289860539487537e-05,0.0007122226413607112,0.0013033955847826454,1.126043701756065e-05,8.44532776317049e-06,0.00013512524421072783,5.067196657902293e-05,0.00016327633675462946,2.8151092543901628e-05,0.00039130018636023266,0,0,0,0.00014638568122828848,0.00011823458868438683
